AsBuilt_Name,Pages,Pipe_type
MacArthur Blvd 2565 Going Bonkers 2002-07,10,['Unknown' 'Good' 'Bad']
MacArthur Blvd 2585 Revised Vista Ridge Office Park 2023-07,15,['Unknown' 'Good' 'Bad']
Main St 1565 Garden Park Shopping Center - Phase 1 & Phase 2 - Bealls,23,['Unknown' 'Bad']
Main St 531 Windmill Conservatoire Addition 2735,1,['Unknown']
Main St 626 Mobil Oil West 2593,1,['Unknown']
Main St East 1021 Dallas Texans Soccer 2182-13,20,['Unknown']
Main St East 1111 Jackson Concrete 2560,6,['Unknown' 'Good']
Main St East 391 Kathryn Commons 2097-10,9,['Unknown' 'Good']
Main St East 415 Lewisville Printing 2576,1,['Unknown']
Main St East 545 Alex Paint & Body 2196-13,19,['Unknown' 'Good' 'Bad']
Main St East 560 Main Streets Motors 2584,1,['Unknown']
Main St East 614 American Nut Company 2685,1,['Unknown']
Main St East 617 Humes Roofing Tiles Plant 2590,11,['Unknown' 'Good' 'Bad']
